Summary By Position=====
Best Defense=====
SORT: POSITION, SORT: TEAM, SORT: PTS, SORT: FG%, SORT: FT%, SORT: 3PM, SORT: REB, SORT: AST, SORT: STL, SORT: BLK, SORT: TO, =====
PF, PHO   122, 24.4   120, 49.7   110, 78.6   78, 2.0   43, 11.6   117, 3.7   35, 1.3   41, 1.7   125, 2.6   123, =====
C, UTA   123, 25.1   128, 56.4   138, 66.0   13, 1.0   20, 13.7   127, 4.3   71, 1.0   16, 2.5   142, 2.4   140, =====
C, SAC   124, 19.4   13, 55.2   136, 75.9   59, 0.4   2, 13.9   128, 5.6   109, 1.6   83, 1.5   119, 2.8   150, =====
C, TOR   125, 22.9   89, 49.1   106, 77.4   74, 0.9   15, 15.1   135, 4.8   92, 0.9   11, 2.5   143, 2.9   135, =====
PF, IND   126, 23.9   113, 52.5   125, 87.9   137, 1.6   30, 10.5   105, 2.4   3, 1.2   27, 1.7   128, 2.6   133, =====
SF, POR   127, 20.7   40, 48.1   96, 91.2   146, 2.4   66, 7.8   75, 3.4   22, 2.3   147, 1.2   107, 2.9   110, =====
PG, PHI   128, 23.9   112, 43.7   42, 86.4   134, 3.1   117, 6.0   22, 9.1   144, 1.9   115, 0.7   55, 2.3   70, =====
PF, ATL   129, 28.0   145, 52.8   126, 79.3   87, 1.6   33, 11.5   116, 5.3   103, 0.5   2, 0.9   77, 2.3   128, =====
PG, DAL   130, 24.3   118, 47.9   92, 84.1   115, 3.2   123, 7.0   54, 8.9   142, 1.8   112, 0.5   26, 3.4   39, =====
C, LAC   131, 20.7   41, 50.0   113, 75.9   60, 0.5   9, 14.3   131, 4.1   61, 2.3   148, 1.4   115, 2.5   145, =====
PG, HOU   132, 22.2   67, 46.2   73, 92.3   148, 2.5   75, 7.1   58, 6.4   119, 1.6   89, 1.1   91, 2.1   104, =====
SG, POR   133, 22.9   86, 45.8   69, 84.8   122, 2.6   80, 7.7   71, 5.6   108, 2.3   143, 0.6   37, 2.9   109, =====
SG, GS   134, 26.4   136, 50.2   115, 86.3   132, 3.3   124, 7.2   63, 4.7   85, 1.9   119, 0.5   24, 3.2   40, =====
SF, DET   135, 22.6   78, 48.6   99, 84.6   121, 2.1   48, 8.2   83, 3.9   52, 2.0   125, 1.4   112, 2.0   121, =====
PG, DET   136, 27.1   141, 43.5   40, 92.2   147, 2.3   59, 7.0   55, 7.3   126, 2.3   145, 0.4   12, 2.6   115, =====
SG, SA   137, 25.6   132, 48.1   94, 86.4   133, 3.6   141, 6.7   43, 6.9   123, 1.4   58, 0.8   69, 2.1   59, =====
C, DAL   138, 23.3   97, 62.8   148, 46.7   1, 1.2   23, 15.9   141, 4.0   60, 2.0   128, 1.3   111, 3.0   143, =====
SF, WAS   139, 26.0   134, 47.6   88, 75.4   53, 2.9   100, 9.0   90, 4.3   69, 2.4   149, 0.8   74, 2.8   96, =====
C, CHI   140, 22.6   79, 55.6   137, 70.3   25, 1.1   21, 16.6   145, 4.8   91, 1.6   87, 1.9   136, 2.6   141, =====
PG, SA   141, 29.1   148, 49.2   107, 73.5   42, 3.6   139, 7.4   66, 9.4   146, 2.0   134, 0.6   35, 3.6   47, =====
SF, UTA   142, 26.0   133, 48.7   102, 82.2   105, 3.5   135, 6.6   41, 4.2   67, 2.1   137, 1.0   85, 1.6   62, =====
PG, IND   143, 24.6   123, 45.7   67, 94.7   150, 2.6   77, 6.5   40, 8.4   138, 1.4   61, 1.2   106, 2.6   106, =====
PF, UTA   144, 27.3   142, 53.3   129, 76.6   64, 2.6   78, 8.6   88, 2.7   4, 2.2   139, 1.7   129, 2.3   107, =====
SF, MIL   145, 26.3   135, 50.5   117, 89.1   143, 3.4   132, 9.2   93, 5.3   102, 1.4   59, 0.7   49, 2.7   68, =====
C, ATL   146, 22.6   77, 54.9   135, 81.5   101, 1.1   22, 15.3   136, 1.9   1, 2.3   146, 2.3   141, 2.5   142, =====
C, WAS   147, 29.6   150, 66.5   149, 80.4   93, 0.4   4, 17.6   150, 4.1   65, 0.7   5, 2.0   138, 2.6   148, =====
PG, MEM   148, 27.1   140, 45.7   66, 84.1   113, 4.7   150, 7.9   78, 9.3   145, 1.7   92, 0.9   83, 3.7   54, =====
SG, WAS   149, 27.0   138, 54.8   134, 76.7   65, 4.7   149, 7.1   56, 6.8   121, 2.2   141, 0.8   68, 3.5   53, =====
C, IND   150, 29.1   149, 56.6   139, 85.3   127, 0.6   11, 14.9   133, 3.6   34, 2.1   136, 1.8   130, 2.9   147, =====
